player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
1408,0,0,0,0,0,0,0,0,0,1,36,44,0,44,36,7.333,1
,,,,,,,,,,,,,,,,,
215,0,0,0,0,0,0,0,0,0,1,60,33,1,33,60,3.3,1
,,,,,,,,,,,,,,,,,
524,142,23,5008,5919,42.084,0.846,0.282,16.676,264,38,593,515,8,64.375,0.868,6,2
,,,,,,,,,,,,,,,,,
518,65,2,2093,2629,33.222,0.796,0.262,14.831,111,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
522,3,2,8,15,8,0.533,0,1.333,6,9,380,419,11,38.091,1.103,6,1
519,13,4,86,146,9.556,0.589,0.0,2.462,27,31,1436,1423,38,37.447,0.991,6.0,19
